Timestamp,Roll,Pitch,Yaw,Quat_w,Quat_x,Quat_y,Quat_z
1672531200.000000,0.107944,-0.579914,-0.006809,0.999987,0.000942,-0.005061,-0.000055
1672531200.100000,0.274867,-1.275641,0.180827,0.999934,0.002416,-0.011128,0.001605
1672531200.200000,0.613263,-1.932016,0.309219,0.999840,0.005396,-0.016844,0.002788
1672531200.300000,1.254615,-2.496593,0.447021,0.999694,0.011031,-0.021741,0.004138
1672531200.400000,1.512295,-3.000477,0.659426,0.999552,0.013343,-0.026102,0.006098
1672531200.500000,2.000827,-3.344581,0.969058,0.999382,0.017698,-0.029030,0.008961
1672531200.600000,2.472158,-3.866084,0.946003,0.999158,0.021837,-0.033545,0.008976
1672531200.700000,3.048723,-4.144228,1.150280,0.998932,0.026946,-0.035876,0.010990
1672531200.800000,3.560226,-4.407452,1.339313,0.998696,0.031488,-0.038069,0.012868
1672531200.900000,3.971202,-4.629404,1.438971,0.998488,0.035124,-0.039926,0.013939
1672531201.000000,4.574544,-5.178844,1.622471,0.998057,0.040504,-0.044574,0.015935
1672531201.100000,5.225873,-5.178844,1.614512,0.997812,0.046173,-0.044485,0.016119
1672531201.200000,5.749274,-5.336292,1.693414,0.997515,0.050778,-0.045747,0.017077
1672531201.300000,6.318524,-5.680763,1.828032,0.997083,0.055826,-0.048594,0.018639
1672531201.400000,7.129100,-5.781546,2.128049,0.996565,0.063018,-0.049173,0.021645
1672531201.500000,7.839266,-5.931805,2.227125,0.996068,0.069256,-0.050284,0.022899
1672531201.600000,8.765767,-5.906995,2.193070,0.995493,0.077289,-0.049905,0.022993
1672531201.700000,9.340858,-5.731917,2.525230,0.995102,0.082401,-0.048030,0.026005
1672531201.800000,9.804253,-5.663036,2.741903,0.994740,0.086503,-0.047162,0.028029
1672531201.900000,10.438450,-5.554727,3.157744,0.994185,0.092155,-0.045732,0.031813
1672531202.000000,11.399874,-5.254340,3.317214,0.993462,0.100493,-0.042719,0.033321
1672531202.100000,12.149702,-4.941050,3.544065,0.992844,0.107004,-0.039573,0.035280
1672531202.200000,12.740789,-4.548977,3.838093,0.992338,0.112127,-0.035707,0.037655
1672531202.300000,13.190362,-3.942390,3.998478,0.992052,0.115908,-0.030144,0.038583
1672531202.400000,13.618767,-3.463378,4.179475,0.991702,0.119528,-0.025664,0.039772
1672531202.500000,14.101707,-2.899338,4.526899,0.991223,0.123607,-0.020241,0.042286
1672531202.600000,14.520657,-2.206704,4.918822,0.990780,0.127058,-0.013662,0.044991
1672531202.700000,14.734285,-1.295481,5.520343,0.990461,0.128610,-0.005024,0.049203
1672531202.800000,15.032969,-0.726848,5.980510,0.989994,0.130959,0.000544,0.052545
1672531202.900000,15.264618,0.077519,6.232073,0.989680,0.132582,0.007889,0.053787
1672531203.000000,15.270454,0.780021,6.539857,0.989549,0.132262,0.014314,0.055630
1672531203.100000,15.274687,1.610088,6.736018,0.989429,0.131842,0.021709,0.056358
1672531203.200000,15.214661,2.303771,7.087196,0.989268,0.130872,0.028069,0.058595
1672531203.300000,15.213836,3.102135,7.337968,0.989035,0.130339,0.035243,0.059830
1672531203.400000,15.049944,3.871570,7.815603,0.988820,0.128297,0.042330,0.063112
1672531203.500000,15.093774,4.770679,8.133421,0.988373,0.127967,0.050462,0.064790
1672531203.600000,14.540797,5.396152,8.493361,0.988581,0.122607,0.055927,0.067433
1672531203.700000,14.253940,6.037629,8.766909,0.988498,0.119540,0.061574,0.069221
1672531203.800000,13.558956,6.691676,9.053098,0.988767,0.112906,0.067074,0.071367
1672531203.900000,13.013441,7.294496,9.343273,0.988839,0.107567,0.072204,0.073572
1672531204.000000,12.188287,7.936658,9.501089,0.989166,0.099845,0.077349,0.074830
1672531204.100000,11.613953,8.460004,9.872157,0.989121,0.094214,0.081792,0.077934
1672531204.200000,10.825245,8.992405,10.298400,0.989136,0.086653,0.086168,0.081710
1672531204.300000,10.161198,9.322137,10.590662,0.989204,0.080417,0.088742,0.084457
1672531204.400000,9.449910,9.651139,10.865303,0.989264,0.073775,0.091231,0.087121
1672531204.500000,8.546479,9.876942,11.114929,0.989469,0.065574,0.092632,0.089832
1672531204.600000,7.671282,10.139199,11.248893,0.989651,0.057671,0.094274,0.091523
1672531204.700000,6.728687,10.140283,11.469663,0.989912,0.049347,0.093622,0.094202
1672531204.800000,5.818782,10.093084,11.809630,0.990020,0.041254,0.092587,0.097904
1672531204.900000,4.692139,9.967160,11.960134,0.990338,0.031516,0.090574,0.100165
1672531205.000000,3.466740,9.797733,11.915648,0.990780,0.021115,0.088025,0.100801
1672531205.100000,2.571319,9.596454,11.884928,0.991085,0.013581,0.085491,0.101274
1672531205.200000,1.815517,9.173072,11.933586,0.991405,0.007395,0.081163,0.102346
1672531205.300000,0.903654,8.622598,12.012580,0.991727,-0.000046,0.075583,0.103749
1672531205.399990,0.462775,7.951416,12.232240,0.991937,-0.003381,0.069368,0.106008
1672531205.499990,-0.372213,7.248979,12.362309,0.992171,-0.010030,0.062500,0.107661
1672531205.599990,-1.052529,6.613542,12.541987,0.992262,-0.015415,0.056333,0.109571
1672531205.699990,-1.691307,5.698863,12.653774,0.992492,-0.020129,0.047779,0.110782
1672531205.799990,-2.065501,4.823445,12.571029,0.992864,-0.022506,0.039849,0.110122
1672531205.899990,-2.479608,3.670333,12.730297,0.993016,-0.025042,0.029422,0.111470
1672531205.999990,-2.806482,2.760401,13.125559,0.992794,-0.027073,0.021124,0.114810
1672531206.099990,-3.192421,1.774282,13.452677,0.992562,-0.029473,0.012108,0.117496
1672531206.199990,-3.366208,0.817235,13.541936,0.992547,-0.030006,0.003616,0.118055
1672531206.299990,-3.551951,-0.374321,13.792749,0.992295,-0.030375,-0.006963,0.119915
1672531206.399990,-3.456439,-1.360801,14.189711,0.991866,-0.028459,-0.015503,0.123092
1672531206.499990,-3.550312,-2.321189,14.493159,0.991412,-0.028170,-0.023990,0.125431
1672531206.599990,-3.142933,-3.350279,14.678492,0.991113,-0.023455,-0.032484,0.126846
1672531206.699990,-2.729423,-4.398556,14.930133,0.990632,-0.018613,-0.041131,0.128883
1672531206.799990,-2.402507,-5.483018,15.175445,0.990024,-0.014443,-0.050166,0.130870
1672531206.899990,-2.040755,-6.458077,15.480896,0.989293,-0.010032,-0.058200,0.133457
1672531206.999990,-1.360656,-7.233275,15.498923,0.988925,-0.003237,-0.064098,0.133821
1672531207.099990,-0.693452,-8.074733,15.706315,0.988203,0.003640,-0.070570,0.135871
1672531207.199990,0.181256,-8.803103,16.184366,0.987105,0.012365,-0.075760,0.140471
1672531207.299990,0.939624,-9.242362,16.329540,0.986519,0.019532,-0.078587,0.142208
1672531207.399990,1.824591,-9.782993,16.622346,0.985573,0.028021,-0.082070,0.145348
1672531207.499990,2.772935,-10.169757,16.686384,0.984923,0.036703,-0.084171,0.146611
1672531207.599990,3.683517,-10.521035,17.117933,0.983751,0.045286,-0.085853,0.151038
1672531207.699990,4.885538,-10.947495,17.204275,0.982740,0.056205,-0.087885,0.152775
1672531207.799990,5.950250,-11.123011,17.439560,0.981700,0.065734,-0.087833,0.155657
1672531207.899990,6.971198,-11.057859,17.621477,0.980885,0.074531,-0.085766,0.157965
1672531207.999990,8.071864,-10.994261,17.912910,0.979776,0.084081,-0.083486,0.161244
1672531208.099990,9.051386,-11.004969,17.934030,0.978982,0.092482,-0.082180,0.162138
1672531208.199990,9.912241,-10.662543,18.328401,0.978012,0.099664,-0.077685,0.165907
1672531208.299990,10.718406,-10.575400,18.763033,0.976729,0.106715,-0.075367,0.170097
1672531208.399990,11.425314,-10.201931,19.121210,0.975857,0.112462,-0.070774,0.173339
1672531208.499990,12.513483,-9.679621,19.237335,0.975038,0.121082,-0.064543,0.174568
1672531208.599990,13.337820,-9.182280,19.519381,0.974142,0.127561,-0.058730,0.176990
1672531208.699990,13.984282,-8.715257,20.054782,0.972965,0.132659,-0.053130,0.181433
1672531208.799990,14.464398,-7.890136,20.503147,0.972352,0.135734,-0.044811,0.184659
1672531208.899990,15.254625,-7.008344,20.702710,0.971740,0.141210,-0.035790,0.185742
1672531208.999990,15.946542,-6.195878,20.956187,0.971032,0.145932,-0.027439,0.187210
1672531209.099990,16.438789,-5.239017,21.430547,0.970239,0.148735,-0.017892,0.190246
1672531209.199990,16.923435,-4.309390,22.025168,0.969157,0.151441,-0.008414,0.194242
1672531209.299990,17.141267,-3.340446,22.342359,0.968844,0.151727,0.000585,0.195757
1672531209.399990,17.333727,-2.355147,22.796461,0.968267,0.151701,0.009858,0.198365
1672531209.499990,17.509575,-1.531433,23.123395,0.967801,0.151752,0.017563,0.200063
1672531209.599990,17.556076,-0.713580,23.571259,0.967240,0.150644,0.025145,0.202784
1672531209.699990,17.651341,0.354916,23.899488,0.966840,0.149469,0.034762,0.204136
1672531209.799990,17.489590,1.199237,24.435879,0.966272,0.146393,0.042282,0.207604
1672531209.899990,17.346638,2.419590,24.928317,0.965737,0.142709,0.052920,0.210204
