Quaternion: q0=0.7888593077659607, q1=0.03158166632056236, q2=-0.005144592374563217, q3=0.6137403845787048
Quaternion: q0=0.7890864014625549, q1=0.03158220648765564, q2=-0.005159292835742235, q3=0.6134482026100159
Quaternion: q0=0.7892945408821106, q1=0.031569648534059525, q2=-0.0051818774081766605, q3=0.6131806969642639
Quaternion: q0=0.7895054817199707, q1=0.03155437111854553, q2=-0.005189043935388327, q3=0.6129097938537598
Quaternion: q0=0.7897582650184631, q1=0.03154614567756653, q2=-0.005196111276745796, q3=0.6125845313072205
Quaternion: q0=0.7900073528289795, q1=0.03154771402478218, q2=-0.00524540338665247, q3=0.6122627854347229
Quaternion: q0=0.790276288986206, q1=0.031539447605609894, q2=-0.005260250065475702, q3=0.6119159460067749
Quaternion: q0=0.7905416488647461, q1=0.031536757946014404, q2=-0.005272884387522936, q3=0.6115730404853821
Quaternion: q0=0.7908141613006592, q1=0.03153630718588829, q2=-0.0052731395699083805, q3=0.61122065782547
Quaternion: q0=0.7910563349723816, q1=0.031544364988803864, q2=-0.005292848218232393, q3=0.6109066605567932
Quaternion: q0=0.7912467122077942, q1=0.03153901547193527, q2=-0.005317790433764458, q3=0.6106601357460022
Quaternion: q0=0.7913861870765686, q1=0.03154255822300911, q2=-0.005329452455043793, q3=0.610478937625885
Quaternion: q0=0.7915139198303223, q1=0.03154356777667999, q2=-0.005341262556612492, q3=0.6103132367134094
Quaternion: q0=0.7916480898857117, q1=0.03155647963285446, q2=-0.005352055188268423, q3=0.610138475894928
Quaternion: q0=0.7917711734771729, q1=0.031548090279102325, q2=-0.005366835277527571, q3=0.609978973865509
Quaternion: q0=0.7918979525566101, q1=0.03152317553758621, q2=-0.005370989441871643, q3=0.6098155975341797
Quaternion: q0=0.7920523285865784, q1=0.031536221504211426, q2=-0.005372517742216587, q3=0.6096144318580627
Quaternion: q0=0.7922648191452026, q1=0.03154481574892998, q2=-0.005386990029364824, q3=0.6093376874923706
Quaternion: q0=0.7924984693527222, q1=0.03153837472200394, q2=-0.005379240494221449, q3=0.6090341806411743
Quaternion: q0=0.7927294969558716, q1=0.03154934197664261, q2=-0.005401252768933773, q3=0.6087327599525452
Quaternion: q0=0.7929882407188416, q1=0.03154847398400307, q2=-0.005420837085694075, q3=0.6083954572677612
Quaternion: q0=0.7932642698287964, q1=0.03154655918478966, q2=-0.0054390449076890945, q3=0.6080355048179626
Quaternion: q0=0.7935279607772827, q1=0.03154023736715317, q2=-0.005432451143860817, q3=0.6076915860176086
Quaternion: q0=0.7938306927680969, q1=0.03154885023832321, q2=-0.005453930702060461, q3=0.6072953939437866
Quaternion: q0=0.7941158413887024, q1=0.031539373099803925, q2=-0.005488184746354818, q3=0.6069227457046509
Quaternion: q0=0.7943229079246521, q1=0.03153713792562485, q2=-0.005492945667356253, q3=0.6066518425941467
Quaternion: q0=0.7945212125778198, q1=0.0315345823764801, q2=-0.00549999438226223, q3=0.6063921451568604
Quaternion: q0=0.7947255969047546, q1=0.031538624316453934, q2=-0.005502968095242977, q3=0.6061239242553711
Quaternion: q0=0.7950145602226257, q1=0.03155150264501572, q2=-0.005521213170140982, q3=0.6057440042495728
Quaternion: q0=0.7953770160675049, q1=0.0315256267786026, q2=-0.005554600618779659, q3=0.605269193649292
Quaternion: q0=0.7957625985145569, q1=0.03153006359934807, q2=-0.005572805181145668, q3=0.6047616600990295
Quaternion: q0=0.7962877750396729, q1=0.031520355492830276, q2=-0.005605882965028286, q3=0.6040701866149902
Quaternion: q0=0.7968721985816956, q1=0.03152129054069519, q2=-0.005628103855997324, q3=0.6032989025115967
Quaternion: q0=0.7974686622619629, q1=0.03150548040866852, q2=-0.005665193777531385, q3=0.6025105714797974
Quaternion: q0=0.7980541586875916, q1=0.03149966895580292, q2=-0.005691382102668285, q3=0.60173499584198
Quaternion: q0=0.7986240983009338, q1=0.03150413930416107, q2=-0.005720907356590033, q3=0.6009777784347534
Quaternion: q0=0.7991690635681152, q1=0.03149984031915665, q2=-0.005757973063737154, q3=0.6002527475357056
Quaternion: q0=0.7996859550476074, q1=0.031481996178627014, q2=-0.005802728235721588, q3=0.5995644330978394
Quaternion: q0=0.8001603484153748, q1=0.03147650137543678, q2=-0.00581474369391799, q3=0.5989313721656799
Quaternion: q0=0.8006507754325867, q1=0.03147384896874428, q2=-0.005827087908983231, q3=0.5982756614685059
Quaternion: q0=0.8011620044708252, q1=0.03147272765636444, q2=-0.0058700148947536945, q3=0.5975907444953918
Quaternion: q0=0.8016436100006104, q1=0.03149517998099327, q2=-0.005888862069696188, q3=0.5969429612159729
Quaternion: q0=0.8021087050437927, q1=0.03149903938174248, q2=-0.005910603329539299, q3=0.5963174700737
Quaternion: q0=0.8024848103523254, q1=0.03152218461036682, q2=-0.005911778658628464, q3=0.595810055732727
Quaternion: q0=0.8028755187988281, q1=0.03153865039348602, q2=-0.0059333364479243755, q3=0.5952823162078857
Quaternion: q0=0.8032137751579285, q1=0.03153704106807709, q2=-0.005944326985627413, q3=0.5948259830474854
Quaternion: q0=0.8035768866539001, q1=0.03152645006775856, q2=-0.005955919157713652, q3=0.5943357348442078
Quaternion: q0=0.8039993047714233, q1=0.031532928347587585, q2=-0.005972213577479124, q3=0.5937635898590088
Quaternion: q0=0.804478645324707, q1=0.03152365982532501, q2=-0.005994776729494333, q3=0.5931143164634705
Quaternion: q0=0.8049446940422058, q1=0.03154115751385689, q2=-0.0060022566467523575, q3=0.5924805998802185
Quaternion: q0=0.805457592010498, q1=0.031527407467365265, q2=-0.006047181319445372, q3=0.5917834639549255
Quaternion: q0=0.8060228824615479, q1=0.03152787312865257, q2=-0.006078942678868771, q3=0.5910129547119141
Quaternion: q0=0.8066390752792358, q1=0.03152432665228844, q2=-0.006100115366280079, q3=0.5901716351509094
Quaternion: q0=0.807261049747467, q1=0.031515032052993774, q2=-0.006143349222838879, q3=0.5893206000328064
Quaternion: q0=0.8079640865325928, q1=0.031499505043029785, q2=-0.006171069573611021, q3=0.5883568525314331
Quaternion: q0=0.8085963726043701, q1=0.03149117901921272, q2=-0.006196481641381979, q3=0.5874878168106079
Quaternion: q0=0.8091915249824524, q1=0.031492751091718674, q2=-0.006231008097529411, q3=0.5866673588752747
Quaternion: q0=0.8096925616264343, q1=0.0314897857606411, q2=-0.0062472219578921795, q3=0.5859755277633667
Quaternion: q0=0.810162365436554, q1=0.031478479504585266, q2=-0.006272550206631422, q3=0.5853262543678284
Quaternion: q0=0.8107343912124634, q1=0.031474582850933075, q2=-0.006301228888332844, q3=0.5845334529876709
Quaternion: q0=0.811293363571167, q1=0.031443193554878235, q2=-0.006347136106342077, q3=0.5837585926055908
Quaternion: q0=0.8119328618049622, q1=0.03144247084856033, q2=-0.006363562308251858, q3=0.5828688740730286
Quaternion: q0=0.8127275109291077, q1=0.031438540667295456, q2=-0.00642940029501915, q3=0.5817595720291138
Quaternion: q0=0.8135516047477722, q1=0.03142932429909706, q2=-0.006482621654868126, q3=0.5806066393852234
Quaternion: q0=0.8143847584724426, q1=0.03144235536456108, q2=-0.006521966774016619, q3=0.5794363617897034
Quaternion: q0=0.8152122497558594, q1=0.03142288699746132, q2=-0.00655972259119153, q3=0.5782720446586609
Quaternion: q0=0.8160154223442078, q1=0.03140789642930031, q2=-0.006600501947104931, q3=0.5771386027336121
Quaternion: q0=0.8167523741722107, q1=0.0314033217728138, q2=-0.006622931454330683, q3=0.5760950446128845
Quaternion: q0=0.8174908757209778, q1=0.031388059258461, q2=-0.006655280943959951, q3=0.5750471353530884
Quaternion: q0=0.8181809782981873, q1=0.03137703984975815, q2=-0.0066762156784534454, q3=0.5740652084350586
Quaternion: q0=0.8188719153404236, q1=0.031373001635074615, q2=-0.00670660100877285, q3=0.5730790495872498
Quaternion: q0=0.8196130394935608, q1=0.03136145696043968, q2=-0.006752401124686003, q3=0.5720186829566956
Quaternion: q0=0.8204145431518555, q1=0.03133860230445862, q2=-0.006814053747802973, q3=0.5708691477775574
Quaternion: q0=0.8212714195251465, q1=0.0313284732401371, q2=-0.006845889147371054, q3=0.5696359276771545
Quaternion: q0=0.8220938444137573, q1=0.03130924329161644, q2=-0.006892837584018707, q3=0.5684488415718079
Quaternion: q0=0.8228267431259155, q1=0.03128670156002045, q2=-0.006925283465534449, q3=0.567388117313385
Quaternion: q0=0.8235576748847961, q1=0.03126945346593857, q2=-0.0069753932766616344, q3=0.5663272142410278
Quaternion: q0=0.8242586255073547, q1=0.031251318752765656, q2=-0.007016169372946024, q3=0.5653069019317627
Quaternion: q0=0.8249413371086121, q1=0.031234612688422203, q2=-0.007059878669679165, q3=0.5643104910850525
Quaternion: q0=0.8257050514221191, q1=0.031222760677337646, q2=-0.007094110362231731, q3=0.5631927847862244
Quaternion: q0=0.8265230655670166, q1=0.031208528205752373, q2=-0.007147480733692646, q3=0.5619916915893555
Quaternion: q0=0.8275106549263, q1=0.03118845447897911, q2=-0.007211649790406227, q3=0.5605365633964539
Quaternion: q0=0.8284758925437927, q1=0.031192725524306297, q2=-0.007258949801325798, q3=0.559108316898346
Quaternion: q0=0.8294066190719604, q1=0.031184708699584007, q2=-0.007315624505281448, q3=0.5577263236045837
Quaternion: q0=0.8302398324012756, q1=0.031180398538708687, q2=-0.007356666028499603, q3=0.5564849376678467
Quaternion: q0=0.8309751152992249, q1=0.031169213354587555, q2=-0.007404472213238478, q3=0.5553863644599915
Quaternion: q0=0.8316964507102966, q1=0.03115159086883068, q2=-0.007458254229277372, q3=0.5543059706687927
Quaternion: q0=0.8323836922645569, q1=0.031171157956123352, q2=-0.007523864507675171, q3=0.5532714128494263
Quaternion: q0=0.8331355452537537, q1=0.03115435503423214, q2=-0.0075943730771541595, q3=0.5521385669708252
Quaternion: q0=0.8339638710021973, q1=0.031143227592110634, q2=-0.007645446807146072, q3=0.5508866310119629
Quaternion: q0=0.8348086476325989, q1=0.03114067204296589, q2=-0.007706044241786003, q3=0.5496047139167786
Quaternion: q0=0.8355563282966614, q1=0.03114262968301773, q2=-0.007750849239528179, q3=0.5484666228294373
Quaternion: q0=0.8363347053527832, q1=0.031142879277467728, q2=-0.00780137162655592, q3=0.5472782254219055
Quaternion: q0=0.8371232151985168, q1=0.031141703948378563, q2=-0.00786342192441225, q3=0.5460706353187561
Quaternion: q0=0.8378874063491821, q1=0.031148023903369904, q2=-0.007921976037323475, q3=0.5448962450027466
Quaternion: q0=0.8386209011077881, q1=0.031131979078054428, q2=-0.007973745465278625, q3=0.5437668561935425
Quaternion: q0=0.8394038677215576, q1=0.031133562326431274, q2=-0.008006205782294273, q3=0.5425567030906677
Quaternion: q0=0.840118408203125, q1=0.03113613650202751, q2=-0.008038753643631935, q3=0.5414490103721619
Quaternion: q0=0.8408053517341614, q1=0.031126396730542183, q2=-0.008068379014730453, q3=0.5403817892074585
Quaternion: q0=0.8414285778999329, q1=0.031134694814682007, q2=-0.008093864656984806, q3=0.5394100546836853
Quaternion: q0=0.8421077728271484, q1=0.031128037720918655, q2=-0.008147850632667542, q3=0.5383485555648804
Quaternion: q0=0.8426171541213989, q1=0.031127285212278366, q2=-0.008181239478290081, q3=0.5375505089759827
Quaternion: q0=0.8431089520454407, q1=0.031123680993914604, q2=-0.0082117710262537, q3=0.5367785096168518
Quaternion: q0=0.8436390161514282, q1=0.03112444281578064, q2=-0.008249983191490173, q3=0.5359445214271545
Quaternion: q0=0.8442345261573792, q1=0.03112603910267353, q2=-0.008288359269499779, q3=0.5350052714347839
Quaternion: q0=0.8448923826217651, q1=0.031117402017116547, q2=-0.008335040882229805, q3=0.5339654088020325
Quaternion: q0=0.8456332087516785, q1=0.031111910939216614, q2=-0.008373367600142956, q3=0.5327911376953125
Quaternion: q0=0.8463060259819031, q1=0.031102856621146202, q2=-0.00840541161596775, q3=0.5317218899726868
Quaternion: q0=0.8468886017799377, q1=0.031090570613741875, q2=-0.008438651449978352, q3=0.5307937264442444
Quaternion: q0=0.8473740816116333, q1=0.031091786921024323, q2=-0.008466544561088085, q3=0.5300177335739136
Quaternion: q0=0.8477776646614075, q1=0.031090261414647102, q2=-0.008487588725984097, q3=0.5293717980384827
Quaternion: q0=0.8482053875923157, q1=0.031079929322004318, q2=-0.008519839495420456, q3=0.5286862254142761
Quaternion: q0=0.8486502766609192, q1=0.031069159507751465, q2=-0.008552070707082748, q3=0.5279719233512878
