Quaternion: q0=0.6850661039352417, q1=0.04292957857251167, q2=-0.0037753302603960037, q3=0.7272051572799683
Quaternion: q0=0.6853377819061279, q1=0.04290732741355896, q2=-0.0037852469831705093, q3=0.7269502878189087
Quaternion: q0=0.6856627464294434, q1=0.04289636388421059, q2=-0.0038071093149483204, q3=0.7266444563865662
Quaternion: q0=0.6859365701675415, q1=0.042892009019851685, q2=-0.0038361791521310806, q3=0.7263860106468201
Quaternion: q0=0.6861646175384521, q1=0.04288474842905998, q2=-0.003846145235002041, q3=0.7261710166931152
Quaternion: q0=0.6863314509391785, q1=0.04287657514214516, q2=-0.0038403247017413378, q3=0.7260138988494873
Quaternion: q0=0.6864466667175293, q1=0.042855218052864075, q2=-0.003844116348773241, q3=0.7259061336517334
Quaternion: q0=0.6865420937538147, q1=0.04284603148698807, q2=-0.0038450344000011683, q3=0.7258163690567017
Quaternion: q0=0.6866247057914734, q1=0.04284946247935295, q2=-0.0038457380142062902, q3=0.7257380485534668
Quaternion: q0=0.6867507100105286, q1=0.04283593222498894, q2=-0.0038323327898979187, q3=0.7256196141242981
Quaternion: q0=0.6868836283683777, q1=0.04283791035413742, q2=-0.003844304010272026, q3=0.7254937291145325
Quaternion: q0=0.687014102935791, q1=0.0428260937333107, q2=-0.0038572067860513926, q3=0.7253707051277161
Quaternion: q0=0.6871051788330078, q1=0.042824942618608475, q2=-0.003873793873935938, q3=0.7252843976020813
Quaternion: q0=0.687164843082428, q1=0.0428258553147316, q2=-0.0038785021752119064, q3=0.7252278923988342
Quaternion: q0=0.687239408493042, q1=0.04281437024474144, q2=-0.003885118756443262, q3=0.7251577973365784
Quaternion: q0=0.6872674822807312, q1=0.042827360332012177, q2=-0.003897380782291293, q3=0.7251304388046265
Quaternion: q0=0.6873051524162292, q1=0.04282619059085846, q2=-0.0039032751228660345, q3=0.725094735622406
Quaternion: q0=0.6874117255210876, q1=0.04281950369477272, q2=-0.003890527877956629, q3=0.7249941825866699
Quaternion: q0=0.6875912547111511, q1=0.042813271284103394, q2=-0.0039059112314134836, q3=0.7248241305351257
Quaternion: q0=0.687781572341919, q1=0.042816247791051865, q2=-0.0039035682566463947, q3=0.7246434092521667
Quaternion: q0=0.6879977583885193, q1=0.04282545670866966, q2=-0.003916265908628702, q3=0.7244375944137573
Quaternion: q0=0.6882782578468323, q1=0.04284083470702171, q2=-0.0039445930160582066, q3=0.7241699695587158
Quaternion: q0=0.6885988712310791, q1=0.04284859821200371, q2=-0.0039549400098621845, q3=0.7238646745681763
Quaternion: q0=0.6889684796333313, q1=0.04285603016614914, q2=-0.003965030424296856, q3=0.7235123515129089
Quaternion: q0=0.6893020868301392, q1=0.04287375509738922, q2=-0.003982815425843, q3=0.7231934070587158
Quaternion: q0=0.689538836479187, q1=0.04285723716020584, q2=-0.004001924302428961, q3=0.722968578338623
Quaternion: q0=0.689671516418457, q1=0.042855121195316315, q2=-0.003997413907200098, q3=0.7228421568870544
Quaternion: q0=0.6897619366645813, q1=0.04286239668726921, q2=-0.004005884286016226, q3=0.7227553129196167
Quaternion: q0=0.6898608207702637, q1=0.042860765010118484, q2=-0.004044563043862581, q3=0.7226608395576477
Quaternion: q0=0.6899524927139282, q1=0.042879000306129456, q2=-0.0040366193279623985, q3=0.7225722670555115
Quaternion: q0=0.6899802684783936, q1=0.04287896305322647, q2=-0.004044241271913052, q3=0.7225457429885864
Quaternion: q0=0.6899959444999695, q1=0.042871300131082535, q2=-0.004046217538416386, q3=0.7225311994552612
Quaternion: q0=0.6899541616439819, q1=0.042870599776506424, q2=-0.004043757449835539, q3=0.7225711941719055
Quaternion: q0=0.6899013519287109, q1=0.04288291186094284, q2=-0.004046479240059853, q3=0.7226207852363586
Quaternion: q0=0.6898584961891174, q1=0.04288157448172569, q2=-0.004041717853397131, q3=0.7226618528366089
Quaternion: q0=0.6898453235626221, q1=0.042892903089523315, q2=-0.004052136093378067, q3=0.7226736545562744
Quaternion: q0=0.6898811459541321, q1=0.04290521889925003, q2=-0.0040682340040802956, q3=0.722638726234436
Quaternion: q0=0.6899398565292358, q1=0.042902059853076935, q2=-0.004075673408806324, q3=0.7225826978683472
Quaternion: q0=0.6900268197059631, q1=0.04290520027279854, q2=-0.004077842924743891, q3=0.7224995493888855
Quaternion: q0=0.690127968788147, q1=0.042902521789073944, q2=-0.004075591452419758, q3=0.7224030494689941
Quaternion: q0=0.6902510523796082, q1=0.04288942366838455, q2=-0.0040879384614527225, q3=0.7222861647605896
Quaternion: q0=0.6904006600379944, q1=0.042897921055555344, q2=-0.004088834393769503, q3=0.7221426963806152
Quaternion: q0=0.6905410289764404, q1=0.042871225625276566, q2=-0.00410148361697793, q3=0.7220099568367004
Quaternion: q0=0.6906587481498718, q1=0.042868681252002716, q2=-0.004112607333809137, q3=0.7218974232673645
Quaternion: q0=0.6907709836959839, q1=0.04288386180996895, q2=-0.004099061246961355, q3=0.7217891812324524
Quaternion: q0=0.6908791661262512, q1=0.04286499693989754, q2=-0.004103268496692181, q3=0.721686840057373
Quaternion: q0=0.6909670829772949, q1=0.042865902185440063, q2=-0.0041219755075871944, q3=0.7216023802757263
Quaternion: q0=0.6910359859466553, q1=0.04287444427609444, q2=-0.004133407026529312, q3=0.721535861492157
Quaternion: q0=0.6911143064498901, q1=0.04285236820578575, q2=-0.00415970291942358, q3=0.721462070941925
Quaternion: q0=0.6911845803260803, q1=0.04286167398095131, q2=-0.004155487287789583, q3=0.7213941812515259
Quaternion: q0=0.6912797093391418, q1=0.04285374656319618, q2=-0.004141522571444511, q3=0.7213035225868225
Quaternion: q0=0.691405177116394, q1=0.04283618554472923, q2=-0.004139452241361141, q3=0.7211843729019165
Quaternion: q0=0.6915419697761536, q1=0.042855095118284225, q2=-0.004147314932197332, q3=0.7210520505905151
Quaternion: q0=0.6916894316673279, q1=0.04286617785692215, q2=-0.004148079548031092, q3=0.7209098935127258
Quaternion: q0=0.6918200254440308, q1=0.04288480803370476, q2=-0.004137637093663216, q3=0.7207834720611572

